№ записи,Полное наименование нефтеперерабатывающего завода,Сокращенное наименование нефтеперерабатывающего завода,Юридический / почтовый адрес заявителя,Фактический / планируемый адрес расположения нефтеперерабатывающего завода,"Глубина переработки, % (на момент включения в реестр)",Основание и дата внесения в реестр,"Статус нефтеперерабатывающего завода (введен в эксплуатацию, строящийся, проектируемый)"
55,Общество с ограниченной ответственностью  «Славянск ЭКО»,ООО «Славянск ЭКО»,"350059, г. Краснодар, ул.Новороссийская, д. 216/2","Краснодарский край, г.Славянск-на-Кубани, ул. Колхозная, д. 2",98,Распоряжение Минэнерго России № 29-р от  19 декабря 2012г,проектируемый
56,Закрытое акционерное общество «Парк индустриальных технологий»,"ЗАО «Парк индустриальных технологий»,                                        ЗАО «Парк ИНТЕХ»","152250, Ярославская обл., Гаврилов – Ямский р-н, с.Великое, ул.Советская, д.30","Ярославская обл., Гаврилов – Ямский р-н,                 с.п. Великосельское",92,Распоряжение Минэнерго России № 29-р от  19 декабря 2012г,проектируемый
57,Химический завод - филиал открытого акционерного общества Красноярский машиностроительный завод,Химзавод – филиал                    ОАО «Красмаш»,"660123, Красноярский край, г. Красноярск, пр-т им.Газеты Красноярский рабочий, д. 29","Красноярский край, г.Железногорск, п.Подгорный, ул. Заводская, д.1",94,Распоряжение Минэнерго России № 17-р   от  4 июля 2013г,проектируемый
58,Общество с ограниченной ответственностью «Сибирский Барель»,ООО «Сибирский Барель»,"656922, Алтайский край, г.Барнаул, ул. Весенняя, д.21","Алтайский край, Зональный р-н, с. Зональное, ул.Заправочная, д.1",96,Распоряжение Минэнерго России № 18-р   от 4 июля  2013г,проектируемый
59,Общество с ограниченной ответственностью  «САМАРАТРАНСНЕФТЬ – ТЕРМИНАЛ»,ООО «САМАРАТРАНСНЕФТЬ – ТЕРМИНАЛ»,"443536, Самарская обл., Волжский р-н, 2,3 км восточнее с. Николаевка / 443010, г. Самара, ул. Чапаевская, 148","Самарская обл., Волжский р-н, с.Николаевка",87,Распоряжение Минэнерго России о внесении изменений              № 69-р от                26 декабря 2016г,строящийся
60,Открытое акционерное общество  «Ярославский нефтеперерабатывающий завод им.Д.И.Менделеева»,ОАО «ЯНПЗ им.Д.И.Менделеева»,"152321, Ярославская обл.,  Тутаевский р-н,  пос. Константиновский","Ярославская обл., Тутаевский р-н,                  пос. Константиновский",86,Распоряжение Минэнерго России № 31-р   от 17 октября  2013г,проектируемый
61,Закрытое акционерное общество «Нефтеперерабатывающий завод Кириши 2»,ЗАО «Нефтеперерабатывающий завод Кириши 2»,"187110, Ленинградская обл., г.Кириши, бульвар Молодежный, д. 4 (пом. 36)","Ленинградская обл., Киришский р-н, Волховское шоссе, д. 11",98,Распоряжение Минэнерго России № 33-р   от 8 ноября  2013г,проектируемый
62,Открытое акционерное общество «Нефтяная компания «Туймаада-нефть»,ОАО НК «Туймаада-нефть»,"677005, Республика Саха (Якутия), Якутск, ул.Курашова д.46","Республика Саха (Якутия), Алданский р-н, п. Лебединый",96,Распоряжение Минэнерго России № 36-р   от 10 декабря  2013г,проектируемый
63,Открытое акционерное общество «Каменский нефтеперегонный завод»,ОАО «КНПЗ»,"346880, Ростовская обл., г.Батайск, ул.М.Горького д.148-150","Ростовская обл., Каменский р-н, п.Чистоозерный, ул.Нефтезаводская д. 1",97,Распоряжение Минэнерго России № 4-р           от 04 февраля  2014г,проектируемый
64,Общество с ограниченной ответственностью «Промышленно-нефтяная компания «Волга-Альянс»,ООО «ПНК Волга-Альянс»,"446810, Самарская обл., Кошкинский р-н, ст. Погрузная, ул.Первомайская 110-А","Самарская обл., Кошкинский р-н, ст.Погрузная",96,Распоряжение Минэнерго России № 10-р           от 28 февраля  2014г,проектируемый
65,Общество с ограниченной ответственностью «ПЕРВЫЙ ЗАВОД»,ООО «ПЕРВЫЙ ЗАВОД»,"249845, Калужская обл., Дзержинский р-н, пос. Полотняный Завод, стр. инв. № 14/1635, лит.стр.1, комн. 17","Калужская обл., Дзержинский р-н, пос. Полотняный Завод",98,Распоряжение Минэнерго России № 19-р           от 01 апреля  2014г,проектируемый
66,Общество с ограниченной ответственностью  «Нефтеперерабатывающий завод Барабинский»,ООО «НПЗ Барабинский»,"632336, Новосибирская обл., Барабинский р-н, г.Барабинск,  ул. Кирова 26","Новосибирская обл., Куйбышевский р-н, Октябрьский сельсовет",95,Распоряжение Минэнерго России № 24-р           от 25 апреля  2014г,проектируемый
67,Закрытое акционерное общество «Нафтатранс»,ЗАО «Нафтатранс»,"352140, Краснодарский край, ст.Кавказская, Промзона 10 ул. Кирова 26","Краснодарский край, Кавказский р-н, ст. Кавказская",92,Распоряжение Минэнерго России № 27-р           от 9 июня  2014г,строящийся
68,Общество с ограниченной ответственностью  «Вторнефтепродукт»,ООО «Вторнефтепродукт»,"633004, Новосибирская обл.,  г. Бердск, ул. Химзаводская, д. 11","Новосибирская обл.,  г. Бердск, ул. Химзаводская, д. 11",75,Распоряжение Минэнерго России № 30-р           от 23 июля  2014г,проектируемый
69,Общество с ограниченной ответственностью                                   «НП «Нафта»,ООО «НП «Нафта»,"665805, Иркутская обл., г.Ангарск, Первый промышленный массив, квартал 17, стр. 1","Иркутская обл., г.Ангарск, Первый промышленный массив, квартал 17, стр. 1",65,Распоряжение Минэнерго России № 34-р           от 26 сентября  2014г,введен в эксплуатацию
70,Общество с ограниченной ответственностью                                «ПНК-Петролеум»,ООО «ПНК-Петролеум»,"356126, Ставропольский край, Изобильненский р-н, п. Солнечнодольск, ул.Техническая 14","Ставропольский край, Изобильненский р-н, п. Солнечнодольск",75,Распоряжение Минэнерго России № 38-р           от 28 октября  2014г,проектируемый
71,Общество с ограниченной ответственностью «Енисейский НПЗ»,ООО «Енисейский НПЗ»,"660093, Красноярский край, г.Красноярск, ул. Вавилова, д.1, стр.39, оф.2-14","Красноярский край, Емельяновский р-н, Шуваевский сельсовет, 20-й км. Енисейского тракта (правая сторона), участок № 38, сооружение 1",87,Распоряжение Минэнерго России № 43-р           от 2 декабря  2014г,проектируемый
72,Общество с ограниченной ответственностью «Албашнефть»,ООО «Албашнефть»,"353700, Краснодарский край, Каневской р-н, станица Новоминская, северо-западная окраина станицы,              0,2 км от ж/д","Краснодарский край, Каневской р-н, станица Новоминская",92,Распоряжение Минэнерго России № 44-р           от 18 декабря  2014г,проектируемый
73,Общество с ограниченной ответственностью «ВИТАНД-ОЙЛ»,ООО «ВИТАНД-ОЙЛ»,"188440, Ленинградская обл., Волосовский р-н, пос. Молосковицы, ул. Пионерская, д.3","Ленинградская обл., Волосовский р-н, пос. Молосковицы",92,Распоряжение Минэнерго России № 10-р           от 28 апреля  2015г,проектируемый
74,Общество с ограниченной ответственностью «ЭкоТОН»,ООО «ЭкоТОН»,"404171, Волгоградская обл., Светлоярский р-н, р.п. Светлый Яр, ул. Дорожная, д. 5 А, оф. 222","Волгоградская обл., Светлоярский р-н, в 1,5 км по направлению на юго-запад от р.п. Светлый Яр",75,Распоряжение Минэнерго России № 13-р           от 22 мая  2015г,проектируемый
75,Общество с ограниченной ответственностью  «Сибнефтеиндустрия»,ООО «Сибнефтеиндустрия»,"664081,  г. Иркутск, ул. Красноказачья, д.119, оф. 306","Иркутская обл., г. Ангарск, Первый промышленный массив, квартал 17, стр. 11",75,Распоряжение Минэнерго России № 14-р           от 22 мая  2015г,проектируемый
76,Общество с ограниченной ответственностью  ООО «ФОРАС»,ООО «ФОРАС»,"446081, Самарская обл., Сызранский р-н, с. Новая Рачейка, 1-я Промзона, участок № 4, Бытовой корпус, офис № 11","Самарская обл., Сызранский р-н, в районе с. Новая Рачейка, 1-я Промзона, участки № 2, 4, 5, 6",89,Распоряжение Минэнерго России № 12-р           от 22 мая  2015г,проектируемый
